0.056486	0.050253	50.000000	256	1.000000
34000.000000	196.481271	0.320000	4.000000	0.263945	4.000000
34200.000000	196.625809	0.405000	4.000000	0.263789	4.000000
34400.000000	196.902244	0.395000	4.000000	0.269316	4.000000
34600.000000	196.824347	0.370000	4.000000	0.267383	4.000000
34800.000000	196.698205	0.430000	4.000000	0.261309	4.000000
35000.000000	196.603796	0.415000	4.000000	0.263066	4.000000
35200.000000	196.329657	0.370000	4.000000	0.259492	4.000000
35400.000000	196.510720	0.345000	4.000000	0.265117	4.000000
35600.000000	196.666973	0.325000	4.000000	0.268145	4.000000
35800.000000	196.746869	0.400000	4.000000	0.264551	4.000000
36000.000000	196.654809	0.300000	4.000000	0.265937	4.000000
36200.000000	196.788334	0.385000	4.000000	0.273477	4.000000
36400.000000	197.003240	0.345000	4.000000	0.266875	4.000000
36600.000000	197.022075	0.380000	4.000000	0.271230	4.000000
36800.000000	197.030806	0.380000	4.000000	0.279062	4.000000
37000.000000	197.042644	0.330000	4.000000	0.274004	4.000000
37200.000000	197.071311	0.375000	4.000000	0.275234	4.000000
37400.000000	197.083174	0.370000	4.000000	0.277070	4.000000
37600.000000	197.216482	0.460000	4.000000	0.270508	4.000000
37800.000000	197.020582	0.360000	4.000000	0.273887	4.000000
38000.000000	197.032096	0.425000	4.000000	0.268633	4.000000
38200.000000	197.163926	0.395000	4.000000	0.268555	4.000000
38400.000000	196.901719	0.370000	4.000000	0.270332	4.000000
38600.000000	197.089072	0.395000	4.000000	0.275449	4.000000
38800.000000	197.073801	0.385000	4.000000	0.274199	4.000000
39000.000000	197.296639	0.325000	4.000000	0.277598	4.000000
39200.000000	197.253763	0.430000	4.000000	0.279629	4.000000
39400.000000	197.391308	0.415000	4.000000	0.283965	4.000000
39600.000000	197.149050	0.350000	4.000000	0.276152	4.000000
39800.000000	197.286746	0.370000	4.000000	0.275039	4.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
