# step  beta  Energy
505  0.500000  -315.391592
506  0.500000  -316.018019
507  0.500000  -316.018019
508  0.500000  -316.199146
509  0.500000  -316.125467
510  0.500000  -315.912603
511  0.500000  -316.052875
512  0.500000  -316.212994
513  0.500000  -317.006031
514  0.500000  -314.692101
515  0.500000  -314.747194
516  0.500000  -314.628969
517  0.500000  -314.628969
518  0.500000  -313.855144
519  0.500000  -312.925698
520  0.500000  -312.925698
521  0.500000  -312.925698
522  0.500000  -313.009811
523  0.500000  -315.803175
524  0.500000  -315.931631
525  0.500000  -315.931631
526  0.500000  -318.524497
527  0.500000  -319.956274
528  0.500000  -320.873846
529  0.500000  -321.125532
530  0.500000  -321.125532
531  0.500000  -322.029039
532  0.500000  -320.436499
533  0.500000  -320.436499
534  0.500000  -320.436499
535  0.500000  -322.044858
536  0.500000  -322.044858
537  0.500000  -321.583865
538  0.500000  -321.234200
539  0.500000  -320.157191
540  0.500000  -321.671990
541  0.500000  -322.060718
542  0.500000  -321.905502
543  0.500000  -321.504961
544  0.500000  -322.133938
545  0.500000  -322.133938
546  0.500000  -323.042610
547  0.500000  -322.629791
548  0.500000  -321.973751
549  0.500000  -323.425963
550  0.500000  -324.216755
551  0.500000  -325.125534
552  0.500000  -331.174527
553  0.500000  -330.877993
554  0.500000  -330.814643
555  0.500000  -333.468942
556  0.500000  -332.593040
557  0.500000  -331.941989
558  0.500000  -331.900055
559  0.500000  -331.209695
560  0.500000  -330.768389
561  0.500000  -330.437091
562  0.500000  -330.437091
563  0.500000  -328.430758
564  0.500000  -332.644271
565  0.500000  -332.557823
566  0.500000  -333.117986
567  0.500000  -331.514680
568  0.500000  -331.514680
569  0.500000  -331.622937
570  0.500000  -330.729608
571  0.500000  -330.729608
572  0.500000  -330.864895
573  0.500000  -330.864895
574  0.500000  -333.178939
575  0.500000  -332.524253
576  0.500000  -332.919989
577  0.500000  -334.713198
578  0.500000  -334.666630
579  0.500000  -334.933295
580  0.500000  -335.251632
581  0.500000  -335.251632
582  0.500000  -335.645356
583  0.500000  -338.272530
584  0.500000  -338.272530
585  0.500000  -341.729708
586  0.500000  -341.481591
587  0.500000  -346.647210
588  0.500000  -347.047875
589  0.500000  -347.487982
590  0.500000  -347.808885
591  0.500000  -348.489352
592  0.500000  -348.489352
593  0.500000  -347.983039
594  0.500000  -347.983039
595  0.500000  -347.983039
596  0.500000  -348.306695
597  0.500000  -348.306695
598  0.500000  -352.357351
599  0.500000  -353.143581
600  0.500000  -353.215028
601  0.500000  -355.563873
602  0.500000  -358.658556
603  0.500000  -358.895492
604  0.500000  -360.234981
605  0.500000  -360.383111
606  0.500000  -360.393321
607  0.500000  -359.960391
608  0.500000  -359.960391
609  0.500000  -359.960391
610  0.500000  -360.563175
611  0.500000  -360.563175
612  0.500000  -361.204855
613  0.500000  -361.204855
614  0.500000  -360.403651
615  0.500000  -360.693279
616  0.500000  -359.943648
617  0.500000  -359.777767
618  0.500000  -358.581164
619  0.500000  -358.581164
620  0.500000  -358.581164
621  0.500000  -359.247789
622  0.500000  -360.674441
623  0.500000  -361.509370
624  0.500000  -359.869547
625  0.500000  -362.953671
626  0.500000  -365.390285
627  0.500000  -365.390285
628  0.500000  -365.390285
629  0.500000  -365.439621
630  0.500000  -367.299845
631  0.500000  -366.702763
632  0.500000  -366.702763
633  0.500000  -366.702763
634  0.500000  -366.277194
635  0.500000  -366.156532
636  0.500000  -370.622664
637  0.500000  -370.404520
638  0.500000  -370.404520
639  0.500000  -370.959604
640  0.500000  -371.263147
641  0.500000  -373.826581
642  0.500000  -374.164305
643  0.500000  -374.164305
644  0.500000  -374.014320
645  0.500000  -374.670840
646  0.500000  -376.359726
647  0.500000  -376.359726
648  0.500000  -373.293561
649  0.500000  -373.293561
650  0.500000  -379.035396
651  0.500000  -379.035396
652  0.500000  -380.432575
653  0.500000  -379.379968
654  0.500000  -380.880673
655  0.500000  -380.880673
656  0.500000  -380.880673
657  0.500000  -381.528614
658  0.500000  -380.499108
659  0.500000  -380.499108
660  0.500000  -380.300158
661  0.500000  -377.259714
662  0.500000  -380.216538
663  0.500000  -379.347417
664  0.500000  -379.276347
665  0.500000  -379.668261
666  0.500000  -382.503471
667  0.500000  -383.141882
668  0.500000  -385.288166
669  0.500000  -384.940093
670  0.500000  -385.752964
671  0.500000  -387.307418
672  0.500000  -385.681005
673  0.500000  -386.355582
674  0.500000  -386.268054
675  0.500000  -385.711467
676  0.500000  -385.485522
677  0.500000  -388.317979
678  0.500000  -386.638508
679  0.500000  -385.607785
680  0.500000  -388.775945
681  0.500000  -390.636788
682  0.500000  -390.636788
683  0.500000  -390.751686
684  0.500000  -391.189639
685  0.500000  -392.277391
686  0.500000  -392.897416
687  0.500000  -392.897416
688  0.500000  -395.410433
689  0.500000  -395.268804
690  0.500000  -397.076937
691  0.500000  -397.347784
692  0.500000  -397.879712
693  0.500000  -398.329149
694  0.500000  -398.329149
695  0.500000  -397.936359
696  0.500000  -396.606028
697  0.500000  -396.606028
698  0.500000  -397.227175
699  0.500000  -395.357010
700  0.500000  -395.357010
701  0.500000  -393.384011
702  0.500000  -393.766631
703  0.500000  -393.766631
704  0.500000  -393.766631
705  0.500000  -394.084811
706  0.500000  -388.927694
707  0.500000  -388.927694
708  0.500000  -387.274156
709  0.500000  -387.274156
710  0.500000  -386.366291
711  0.500000  -386.129701
712  0.500000  -387.102121
713  0.500000  -390.807290
714  0.500000  -390.546734
715  0.500000  -390.546734
716  0.500000  -392.884104
717  0.500000  -391.113880
718  0.500000  -390.379547
719  0.500000  -390.379547
720  0.500000  -392.921153
721  0.500000  -394.773207
722  0.500000  -398.314107
723  0.500000  -397.207931
724  0.500000  -398.288906
725  0.500000  -399.893517
726  0.500000  -399.422453
727  0.500000  -399.422453
728  0.500000  -398.559766
729  0.500000  -398.955929
730  0.500000  -398.972464
731  0.500000  -397.901579
732  0.500000  -399.793155
733  0.500000  -399.417094
734  0.500000  -400.655533
735  0.500000  -400.985454
736  0.500000  -400.985454
737  0.500000  -400.985454
738  0.500000  -400.985454
739  0.500000  -400.702152
740  0.500000  -400.702152
741  0.500000  -400.854476
742  0.500000  -400.244866
743  0.500000  -400.244866
744  0.500000  -398.630102
745  0.500000  -397.762819
746  0.500000  -398.655775
747  0.500000  -398.663925
748  0.500000  -396.979576
749  0.500000  -396.979576
750  0.500000  -396.851935
751  0.500000  -398.985513
752  0.500000  -398.985513
753  0.500000  -401.933689
754  0.500000  -401.933689
755  0.500000  -402.440742
756  0.500000  -400.916788
757  0.500000  -400.916788
758  0.500000  -401.478860
759  0.500000  -401.980610
760  0.500000  -404.441810
761  0.500000  -405.284236
762  0.500000  -406.701097
763  0.500000  -405.740829
764  0.500000  -406.576902
765  0.500000  -407.261830
766  0.500000  -407.640237
767  0.500000  -411.674316
768  0.500000  -411.674316
769  0.500000  -411.283431
770  0.500000  -411.677810
771  0.500000  -411.677810
772  0.500000  -411.724749
773  0.500000  -414.120519
774  0.500000  -414.120519
775  0.500000  -415.404561
776  0.500000  -417.488246
777  0.500000  -417.488246
778  0.500000  -415.364706
779  0.500000  -415.874615
780  0.500000  -416.215206
781  0.500000  -415.108629
782  0.500000  -414.553774
783  0.500000  -415.291071
784  0.500000  -416.681001
785  0.500000  -419.463974
786  0.500000  -419.316210
787  0.500000  -420.519842
788  0.500000  -415.418910
789  0.500000  -415.418910
790  0.500000  -413.661083
791  0.500000  -414.985208
792  0.500000  -413.798429
793  0.500000  -413.113183
794  0.500000  -413.092710
795  0.500000  -413.386393
796  0.500000  -413.244446
797  0.500000  -415.465797
798  0.500000  -415.465797
799  0.500000  -412.797034
800  0.500000  -417.952461
801  0.500000  -417.952461
802  0.500000  -418.730468
803  0.500000  -418.730468
804  0.500000  -419.534721
805  0.500000  -419.534721
806  0.500000  -420.685496
807  0.500000  -420.685496
808  0.500000  -420.685496
809  0.500000  -420.795403
810  0.500000  -422.397522
811  0.500000  -422.397522
812  0.500000  -425.148914
813  0.500000  -427.433814
814  0.500000  -427.433814
815  0.500000  -428.115381
816  0.500000  -427.760865
817  0.500000  -427.760865
818  0.500000  -430.940765
819  0.500000  -434.085866
820  0.500000  -435.648021
821  0.500000  -434.512382
822  0.500000  -434.639175
823  0.500000  -434.639175
824  0.500000  -436.203116
825  0.500000  -434.288136
826  0.500000  -434.844464
827  0.500000  -436.849599
828  0.500000  -436.849599
829  0.500000  -435.729871
830  0.500000  -440.489541
831  0.500000  -440.700967
832  0.500000  -441.112970
833  0.500000  -438.670737
834  0.500000  -438.670737
835  0.500000  -439.949283
836  0.500000  -440.665969
837  0.500000  -440.793761
838  0.500000  -440.725788
839  0.500000  -438.800728
840  0.500000  -438.393637
841  0.500000  -437.726638
842  0.500000  -439.099852
843  0.500000  -440.874090
844  0.500000  -441.864105
845  0.500000  -441.481624
846  0.500000  -439.919559
847  0.500000  -439.919559
848  0.500000  -439.159368
849  0.500000  -439.777640
850  0.500000  -445.363284
851  0.500000  -447.723676
852  0.500000  -449.606516
853  0.500000  -455.592443
854  0.500000  -455.592443
855  0.500000  -455.671409
856  0.500000  -455.671409
857  0.500000  -460.904994
858  0.500000  -460.904994
859  0.500000  -461.564285
860  0.500000  -461.392012
861  0.500000  -463.181198
862  0.500000  -463.477149
863  0.500000  -463.016465
864  0.500000  -463.016465
865  0.500000  -463.016465
866  0.500000  -463.030363
867  0.500000  -463.030363
868  0.500000  -463.030363
869  0.500000  -462.429500
870  0.500000  -464.698585
871  0.500000  -467.362583
872  0.500000  -467.362583
873  0.500000  -469.266110
874  0.500000  -468.870724
875  0.500000  -468.735460
876  0.500000  -468.455150
877  0.500000  -468.455150
878  0.500000  -467.791321
879  0.500000  -467.791321
880  0.500000  -469.255385
881  0.500000  -468.453936
882  0.500000  -468.453936
883  0.500000  -469.260994
884  0.500000  -469.260994
885  0.500000  -471.954170
886  0.500000  -475.962264
887  0.500000  -475.962264
888  0.500000  -476.362718
889  0.500000  -476.846995
890  0.500000  -480.802820
891  0.500000  -480.802820
892  0.500000  -480.802820
893  0.500000  -480.802820
894  0.500000  -481.144596
895  0.500000  -481.344780
896  0.500000  -481.617716
897  0.500000  -481.644135
898  0.500000  -481.644135
899  0.500000  -479.296486
900  0.500000  -479.401522
901  0.500000  -478.431216
902  0.500000  -478.431216
903  0.500000  -478.431216
904  0.500000  -478.311762
905  0.500000  -478.311762
906  0.500000  -477.150191
907  0.500000  -478.696674
908  0.500000  -477.878942
909  0.500000  -477.240151
910  0.500000  -477.801921
911  0.500000  -477.801921
912  0.500000  -478.460302
913  0.500000  -478.920335
914  0.500000  -478.920335
915  0.500000  -478.920335
916  0.500000  -478.965967
917  0.500000  -482.696897
918  0.500000  -482.696897
919  0.500000  -482.696897
920  0.500000  -482.112806
921  0.500000  -482.269317
922  0.500000  -482.269317
923  0.500000  -482.990811
924  0.500000  -485.517088
925  0.500000  -485.422228
926  0.500000  -487.490306
927  0.500000  -487.490306
928  0.500000  -487.490306
929  0.500000  -487.595641
930  0.500000  -487.215843
931  0.500000  -487.215843
932  0.500000  -487.732676
933  0.500000  -488.822416
934  0.500000  -488.822416
935  0.500000  -487.652645
936  0.500000  -489.299070
937  0.500000  -490.380313
938  0.500000  -490.380313
939  0.500000  -494.081017
940  0.500000  -494.214408
941  0.500000  -494.391833
942  0.500000  -494.445100
943  0.500000  -495.474422
944  0.500000  -495.757540
945  0.500000  -491.574772
946  0.500000  -494.833704
947  0.500000  -494.964217
948  0.500000  -494.443362
949  0.500000  -494.694424
950  0.500000  -497.701255
951  0.500000  -498.594360
952  0.500000  -498.881331
953  0.500000  -496.900469
954  0.500000  -496.187377
955  0.500000  -500.469553
956  0.500000  -500.426758
957  0.500000  -500.262347
958  0.500000  -501.279602
959  0.500000  -500.566709
960  0.500000  -502.064219
961  0.500000  -500.560600
962  0.500000  -499.509237
963  0.500000  -498.910860
